Nome do Objeto,Modelo,Responsável pela Pesquisa,Tipo do Objeto,Descrição do Objeto,Função/Uso,Ano de Fabricação/Época,Foi importado para o Memória Virtual?,Fabricante,Local de Fabricação/Origem,Estado do Objeto,Localização atual,Situação do Cadastro,É patrimoniável ?,Foi importado para o Memória Virtual?,Número de Patrimônio,Passou pelo CTA,Imagens do Objeto
,128K,"The Boys-Augusto Cavalcante, Gabriel hyppolito, Juan Marques, Vinícius Gustierrez",Computadores," O microcomputador Apple Macintosh 128K é composto por uma unidade principal, um mouse e um teclado, todos desenvolvidos na cor bege. O mouse era retangular, com um único botão e estava conectado ao computador através uma porta de padrão próprio. O teclado era mecânico, não fazia parte do corpo do computador e estava conectado a ele através de um cabo espiralado semelhante aos usados em telefones, não tinha teclas de seta, teclado numérico ou teclas de função. Mais tarde, a Apple disponibilizou um teclado numérico para o Macintosh 128K.  O modelo apresentava uma tela CRT de 9 polegadas integrada ao corpo do computador, resolução de 512x342 pixels em preto e branco e toda a sua estrutura tinha cerca de 7,5 kilogramas de massa, com dimensões de 28 centímetros de comprimento, 24 centímetros de largura e 35 centímetros de altura. Seu gerador de som trabalhava com conversão digital/analógica de 8 bits, usando taxa de amostragem de 22 kHz e suas especificações elétricas exigiam potência máxima de 60W, 1A de corrente, 50–60 Hz de frequência e uma tensao de 120V. Conta com um processador Motorola 68000 - 8MHz, rodando a um clock efetivo de 6 MHz e com barramento de dados interno de 16 bits, com uma memória RAM de 128Kytes (fato que deu origem ao nome do modelo), uma memória ROM de 64KBytes e uma unidade de disquete de 3,5” de 400 kBytes que vinha junto ao computador, além de um sistema operacional da primeira versão do MacOS (System 1) que incluia os aplicativos MacPaint e MacWrite e tinha suporte para o Microsoft Word e o MacTerminal, sendo esse último utilizado com linguagens de programação como o MacBASIC, MacPascal e Macintosh 68000 Development System.","O Macintosh 128K era um microcomputador pessoal que ficou conhecido por ser o pioneiro da família Macintosh e por trazer acesibilidade aos usuários leigos.",1984,,"Apple Computer, Inc.","Cupertino, Califórnia.",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/31315_ca_attribute_values_value_blob_6246_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/76066_ca_attribute_values_value_blob_6247_large.jpg' width='700' height='1058' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/15061_ca_attribute_values_value_blob_6248_large.jpg' width='700' height='984' />"
,paxis 20,"Lorena Bitencourt Salvador (grupo Algoritmicas)",Outros,"Maquina de escrever com espaçamento regulável, com regulador de intensidade de batida, com teclado totalmente eletrônico e seu aspecto é de maquina de escrever clássica. Foi uma das primeiras maquinas de escrever eletrônicas totalmente portáteis, com sinalizadores do tipo: acústico, de termino de linha, liga-desliga, de indicação de teclas, como a SHIFT. Apresenta teclas especiais que permitem escrever teclas especiais ou estrangeiros. Exemplar de teclado cor preta e corpo creme.  ",,1982,,Olivetti,"Itália ",,,Em Progresso; Em Progresso,,,,,
,"LN-200","Bruno Kazuya Yamato Sakaji, Douglas da Fontoura Pereyra, Letícia Jönck Raddatz e Pietra Gullo Salgado Chaves. ",Calculadoras,"Máquina de quatro especificações com rolos de retransmissão divididos, manual e portátil. A máquina conta com uma capacidade de 20 dígitos e teclado de 10 colunas.  Dimensões (A x L x P): 17x37x29 cm  ","Máquina de contar de uso corporativo que realiza as quatros operações básicas ",1956,,Monroe Calculating Machine Company ,Holanda ,,,Finalizado,"Não",,,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/42885_ca_attribute_values_value_blob_6292_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/48027_ca_attribute_values_value_blob_6293_large.jpg' width='700' height='525' />"
,Nexus 1600,Grupo 04,Computadores,"• Microcomputador com arquitetura de 16 bits • Sistema operacional: SISNE - Compatível com Microsoft MS-DOS  • Processador: Intel 8088 com velocidades de 4,77 e 8 MHz  • Memória ROM: 64 Kbytes  • Memória RAM: 256 Kbytes  • Armazenamento: 2 unidades de disquete de 5 1/4 polegadas com capacidade de 320 Kbytes cada • Preço: Cerca de 10 mil dólares ","Utilizado para computar dados, o Nexus 1600 alcançava tanto o ambiente corporativo quanto o público geral.",1983,,Scopus Tecnologia S.A.,Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/1/13144_ca_attribute_values_value_blob_6192_large.jpg' width='700' height='188' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/85858_ca_attribute_values_value_blob_6193_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/89472_ca_attribute_values_value_blob_6194_large.jpg' width='700' height='700' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/46248_ca_attribute_values_value_blob_6195_large.jpg' width='700' height='983' />"
,A1208,"Gabriel Costa; Isabella Arão Brito; Marina Fagundes e Souza; Robson Santos da Silva",Computadores,"Computador de tela com 17” e resolução de 1440x900px, 1GB de memória ram (expansível até 4GB), processador Intel Core 2 Duo 2.16GHz, 160GB de disco rígido, placa de vídeo ATI Radeon X1600 com 128MB de memória, com câmera iSight integrada e auto falantes TFT Active Matrix LCD. ","O computador é uma máquina multitarefa. Eles são usados em diferentes aspectos da vida, como na pesquisa, no ensino, no trabalho, como ferramenta de entretenimento, entre outros.",2006,,Apple Inc.,Estados Unidos ,,,Em Progresso,Sim,,055.008697,Sim,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/64521_ca_attribute_values_value_blob_6222_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/35204_ca_attribute_values_value_blob_6223_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/54163_ca_attribute_values_value_blob_6224_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/99856_ca_attribute_values_value_blob_6225_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/19897_ca_attribute_values_value_blob_6226_large.jpg' width='700' height='394' />"
,"Apollo 9000-720","Matheus Paiva Angarola, Nelly Vanesa Mollo Cossio, Renato Calacina Spessotto e Vinícius Felisberto dos Reis.",Computadores,"Os 720 foram as primeiras estações de trabalho ""Snake"" baseadas na CPU HP PA-7000 RISC. Apresentava teclado numérico low-profile - com 109 teclas, suportando 9 línguas diferentes - e mouse com 3 botões e uma “rollerball”. Tinha sistema operacional HP-UX 10.20 (caixas grandes, pesadas e muito modulares), funcionando a uma velocidade de 50 MHz, processador PA-RISC HP-PA7100. Esses computadores podem acomodar até 64 MB de RAM, podendo escolher entre modelos de 16MB até 64MB de RAM. Cada computador veio com um slot de expansão DIO-II e EISA.Sua BIOS/ROM/NVRAM/Boot type era HP Firmware/ISL/IPL. A capacidade do hard disk instalado era de 1GB. O computador possui o peso de 22.7 quilos, tendo as seguintes medidas: 11.4 centímetros de altura, 50.8 centímetros de largura e 47.0 centímetros de profundidade. Suas entradas eram: HP-HIL teclado/mouse, Centronics compatible paralell, saída de alto-falante, entrada de microfone, entrada de linha, saída de linha, saída de fones,  AUI ethernet, SE-SCSI, FW-SCSI, 2xRS232, vídeo RGB de 3 BNC. Sua fonte de alimentação era uma Astec BM200-3601. Seu som era on-board, apresentando uma frequência entre 81.46Hz até 83.3KHz, com três geradores de tempo controláveis acima de 30db. O computador possui diversas opções gráficas (GRX, CRX, PersonalVRX, TurboVRX T2/T4), podendo gerar diferentes cores. Suportava diversos sistemas operacionais, como também diversas linguagens de programação (C, C++ e Fortran). A interface de rede era do tipo Intel AUI Ethernet. A interface do usuário era uma HP VUE 2.0 (com HP-UX 8.05 e HP-VUE 2.01). Por fim, seus gráficos eram baseados em Framebuffer de 8 bits, monitor de sincronização fixa de 19"". ","O HP Apollo 720 foi projetado para lidar com cargas de trabalho intensivas, como aplicativos de processamento de dados e aplicações de engenharia (simulação de projetos, modelagem e design assistido por computador, visualização de projetos e renderização). ",1991,,"Hewlett Packard - HP","Massachusetts, Estados Unidos",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/43751_ca_attribute_values_value_blob_6232_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/86070_ca_attribute_values_value_blob_6233_large.jpg' width='700' height='328' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/39855_ca_attribute_values_value_blob_6234_large.jpg' width='700' height='368' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/30147_ca_attribute_values_value_blob_6235_large.jpg' width='700' height='811' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/73867_ca_attribute_values_value_blob_6236_large.jpg' width='700' height='484' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/15855_ca_attribute_values_value_blob_6237_large.jpg' width='700' height='487' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/2101_ca_attribute_values_value_blob_6238_large.jpg' width='700' height='526' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/58748_ca_attribute_values_value_blob_6239_large.jpg' width='700' height='641' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/69331_ca_attribute_values_value_blob_6240_large.jpg' width='700' height='244' />"
,"SCPH-90001","Grupo Descobridores do Byte: Lucas Mariano, Matheus Calazans, Vitor Brasil e Wellington Ferreira",Consoles de jogo,"O Playstation 2 Slim é um console de videogame lançado no ano de 2004 pela Sony. Ele é uma das plataformas mais populares e bem sucedidas da história dos videogames, marcou a infância e vida adulta de diversas gerações. O PlayStation®2 possui um design compacto e elegante na cor preta, sendo mais fino e reduzido em comparação ao seu modelo anterior. Conta com duas portas para conexão dos controladores (DualShock®2), duas entradas de memory card, duas entradas para conexão USB, tampa de abertura superior que cobre o disco, botão de liberação para abertura da cobertura da tampa superior, botão Power (frontal), botão Reset (frontal), LED de energia (ligado/desligado), logotipo da família do produto e um receptor infravermelho. Na parte traseira possui ventilação, uma entrada de rede, um conector de saída digital (óptica), conector de saída AV MULTI e conector AC IN.","Sendo uma versão atualizada do primeiro console PS2 lançado pela Sony, o modelo SCPH-90001, tem por principal função processar jogos eletrônicos. O videogame é compatível com todos os jogos lançados para PS2, pode reproduzir DVDs e CDs de áudio e também, com as devidas configurações e dispositivos periféricos - modem/roteador, cabo ethernet, memory card de 8MB - pode conectar-se a uma rede de internet para executar jogos compatíveis com o modo online. Com as duas entradas de controle, o equipamento permite dois jogadores simultâneos. Ademais, a entrada de memory card (unidade de armazenamento) permite salvar o progresso dos jogos e a entrada USB permite conectar diversos periféricos compatíveis com o dispositivo.",2004,,"Sony Computer Entertainment (SCE)","Japão",,,Finalizado,"Não",,,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/6/5/94857_ca_attribute_values_value_blob_6547_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/68210_ca_attribute_values_value_blob_6548_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/94160_ca_attribute_values_value_blob_6549_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/72651_ca_attribute_values_value_blob_6551_large.jpg' width='700' height='752' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/28921_ca_attribute_values_value_blob_6552_large.jpg' width='700' height='459' />"
,"CA2-16","Grupo MKR - Mariana, Kaylaine, Katiely e Roberto",Calculadoras,"Máquina de calcular com a capacidade de realizar todas as operações aritméticas básicas e operações de potenciação e radiciação, que pode receber números de até 11 dígitos, fornecidos através do teclado numérico de 10 teclas, capaz de exibir resultados de até 16 dígitos e armazenar alguns resultados para serem utilizados posteriormente. Possui 35 cm de comprimento,  25,5 cm de largura e 17,6 cm de altura.","A calculadora eletromecânica da FACIT facilita e acelera tanto desde cálculos simples, como somas e subtrações, até cálculos mais complexos, como potências e raízes.",1962,,FACIT,Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/3/41651_ca_attribute_values_value_blob_6380_large.jpg' width='700' height='791' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/3/65848_ca_attribute_values_value_blob_6381_large.jpg' width='700' height='563' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/3/86461_ca_attribute_values_value_blob_6382_large.jpg' width='700' height='967' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/3/34315_ca_attribute_values_value_blob_6383_large.jpg' width='700' height='450' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/3/84007_ca_attribute_values_value_blob_6384_large.jpg' width='700' height='423' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/3/83282_ca_attribute_values_value_blob_6385_large.jpg' width='700' height='533' />"
,,Testemunhas de Java,"Maquinas de Cálculo","Durante o Período Edo, o Soroban (そろばん) foi desenvolvido pelo matemático Kambei Mori (毛利 勘兵衛) no Japão que é apresentado nesta peça do museu. A peça consiste em uma moldura de madeira (waku) com uma régua (hari) que o divide em duas partes. Perpendicularmente, existem hastes (keta) com peças circulares (tama). Na parte inferior à régua, há quatro peças circulares (ichidama), enquanto acima da mesma, há apenas uma (godama). As hastes que contém as peças circulares indicam as classes unidade, dezena, centena e assim por diante.  As peças da parte inferior indicam os números de 1 a 4, enquanto a da parte superior indica o número 5, desta forma, cada haste pode contar dos algarismos 0 à 9 de acordo com a posição das peças superiores e inferiores à régua. ","O soroban permite a realização de adição, subtração, multiplicação e divisão.",1600 a.C.,,"Não informado","Não informado",,,Em Progresso,,,,,
,GWVSU140,"Grupo FELIPE (Fundamentos da Evolução de Lógica, Informação, Privacidade e Encriptação) - Matheus Pereira Dias, Beatriz Aimée Teixeira Furtado Braga, José Carlos Andrade do Nascimento, Lucas Eduardo Gulka Pulcinelli",Computadores,"O computador GWVSU140 foi registrado em 1995 pela Sun Microsystems. Ele possui um microcontrolador UltraSPARC e é executado no sistema operacional Solaris. O microcontrolador UltraSPARC é um processador poderoso que oferece recursos de computação de alto desempenho. O sistema operacional Solaris é uma popular plataforma baseada em Unix conhecida por sua estabilidade, segurança e escalabilidade. O GWVSU140 é um computador de mesa confiável e eficiente adequado para uso pessoal e empresarial. Ele é equipado com recursos avançados e especificações que permitem aos usuários executar tarefas complexas e executar várias aplicações simultaneamente. No geral, o computador GWVSU140 era uma tecnologia impressionante para sua época e uma excelente escolha para quem buscava uma solução de computação poderosa e confiável.","Os computadores desktop da Sun Microsystems foram projetados para serem poderosas estações de trabalho de alto desempenho que ofereciam recursos avançados para aplicações de negócios, científicas e de engenharia. A arquitetura SPARC é um RISC robusto proposto pela própria Sun Microsystems para computação genérica e escalável, contendo registradores de ponto flutuante, uma boa quantidade de instruções comuns executadas em somente um ciclo, e uma filosofia de desenvolvimento baseada em ser utilizada com sistemas compatíveis com UNIX desde sua concepção. O sistema operacional mais famoso para esse tipo de computador era o Solaris, baseado em Unix. É voltado para grandes empresas e ambientes corporativos, e tem uma alta performance em aplicações cliente/servidor, além de ter uma escalabilidade grande para suportar várias aplicações e configurações. ",1995,,Sun Microsystems Inc,"California, United States",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/1/21037_ca_attribute_values_value_blob_6163_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/13637_ca_attribute_values_value_blob_6164_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/4898_ca_attribute_values_value_blob_6165_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/39629_ca_attribute_values_value_blob_6166_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/89491_ca_attribute_values_value_blob_6167_large.jpg' width='700' height='933' />"
,411,"Evolução histórica da computação - TME",Outros,"Um dispositivo de armazenamento criado pela Sun Microsystems, com interface SCSI.","Transferência de informação de alta velocidade, podendo ser usado para backup ou armazenamento de arquivos, fotos e vídeos. Muito útil para usos que requerem grande capacidade de armazenamento.",Anterior a 2010,,Sun Microsystems,Estados Unidos,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/6876_ca_attribute_values_value_blob_6241_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/37965_ca_attribute_values_value_blob_6244_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/23266_ca_attribute_values_value_blob_6245_large.jpg' width='700' height='525' />"
,"WM-F2061","Grupo grp (Diogo Gianezi de melo;Raphael Monteiro Consoni Bonaccorsi;Vincius Diniz;Igor Barsoti Amoroso)",Outros,"Requerimento de energia:  Baterias 3V DC 116 (AA) x2 Duração da bateria aproximada: 11hrs em playback e 30hrs em FM Acessórios: Fones estéreo tipo aberto, clip de cinto. Leitor de cassete e rádio FM/AM ","O Walkman WM-F2061 foi um toca fitas portátil,com possibilidades de play,pause,retroceder e avançar a fita,esse modelo também contava com rádio FM/AM  embutido,permitindo que o usuário também consiga sintonizar em rádio.  ","1990/final da guerra fria ",,Sony,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/1/22110_ca_attribute_values_value_blob_6111_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/91540_ca_attribute_values_value_blob_6112_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/9598_ca_attribute_values_value_blob_6113_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/90072_ca_attribute_values_value_blob_6114_large.jpg' width='700' height='525' />"
,"PCRD - 4/6X","Grupo: Eduarda Almeida Garrett de Carvalho, Eduarda Tuboy Nardin, Felipe Volkweis de Oliveira, Nicolas Carreiro Rodrigues",Outros,"Leitor e gravador de CD externo para macintosh com base na tecnologia do Yamaha CDR 100.  Possui tais especificações: Tempo médio de acesso: 250 ms; Taxa de transferência de leitura de dados: 900 KB/s; Taxa de transferência de dados de gravação: 600 KB/s; Capacidade de formatação: 650 MB por drive; Interface CD-ROM: SCSI-2; Tamanho da unidade de CD: 5.25 polegadas; Mecanismo de carregamento: Caddy; Mecanismo de ejeção: Eletrônico; Formatações aceitas: ISO 9660                                    High Sierra                                    Yellow Book; Altura x Largura x Profundidade (polegadas): 2,4 x 9,6 x 10,5; Peso: 1,9Kg; MTBF: 50.000 horas;","O PCRD - 4/6X era um leitor e gravador de CD feito para o macintosh",1992,, Procom Technology Inc,"Estados Unidos da América",,,Em Progresso,,,,,
,"Sun 4/15","Grupo Null - Fabrício Sampaio / Arthur Pin / Arthur Grillo Queiroz Cabral / Carlos Melara",Computadores,"O SPARCclassic (Sun 4/15) é um computador especial criado para aplicações técnicas e cientificas. Ele é baseado na arquitetura sun4m.  CPU: processador single de 50 MHz microSPARC; Memória: possui 3 bancos com 2 slots DSIMM cada, com memória máxima de 128MB;  Disk drives: ele aguenta um SCSI drive e um floopy disk, além de suporte para dispositivos SCSI externos, não tendo suporte para IDE/ATAP; Network support: ele possui uma on-board AMD Lance Ethernet chipset provendo network 10BASE-T como padrão e 10BASE2 e 10BASE5 via transceptor AUI. O OpenBoot ROM pode dar boot pela network usando RARP e TFTP; Sistemas Operacional: ele pode rodar: SunOS 4.1.3c / Solaris 2.3 Edition II to Solaris 9 / Linux (some) / NetBSD/sparc32 / OpenBSD/sparc32","Foi usado como um computador especial criado para aplicações técnicas e cientificas.","November/1992",,Sun Microsystems,Estados Unidos,,,Em Progresso,,,,,
,TK3000 IIe,"Arthur Moreira Correia, Nicholas Eiti Dan",Computadores,"Feito em um plástico ABS injetado, é um computador pessoal desenvolvido pela empresa brasileira Microdigital em 1985, sendo compatível com o computador Apple IIe.  Tem processador WDC 65C02 que é mais veloz que o 6502, possuindo clock de 1MHz, utilizado no Apple II, além disso, possui 64kb de RAM, expansível até 1MB.  O teclado possuía 77 teclas, com teclado numérico separado, com capacidade de acentuação em português, em tudo era controlado por um microprocessador dedicado Z80 A.  Em relação ao video, esse modelo possui saídas para modulador RF para TV e monitor de video composto, ademais possui 5 modos de display, que variam texto em 24 linhas com 40 colunas, monocromático até um gráfico de dupla alta resolução em 192 linhas e 140 colunas, com 16 cores. O Sistema Operacional do computador era o TKDOS 3.3, que era extremamente parecido com o da Apple DOS 3.3., possuindo compatibilidade com diversos programas e jogos desenvolvidos para os da Apple.","Ele foi desenvolvido para um uso mais simples até o profissional, sendo opção mais barata que um IBM-PC, tendo todas as funcionalidades de um Apple IIe, além de ser mais rápido e ter softwares exclusivos. O computador tinha algumas linguagens de programação como: BASIC, Assembly, Pascal, entre outras linguagens. O computador, além de ser compatível com o Apple IIe e poder rodar seus programas, possuía alguns programas exclusivos como o TotalWorks, uma cópia do AppleWorks, que era um pacote de programas para escritório, como editor de texto e manipulador de tabelas",1985,,"Microdigital Eletrônica Ltda","São Paulo (SP), Brasil - 1985",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/1/52898_ca_attribute_values_value_blob_6172_large.jpg' width='700' height='644' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/69081_ca_attribute_values_value_blob_6173_large.jpg' width='700' height='409' />"
,NBZ80B,"Grupo Compucronistas BSI023; Integrantes: Gabriela Carvalho Dantas, Jaime Cuesta Junior, Julia Carvalho Ribeiro",Computadores,"Informações gerais: • Microprocessador Zilog Z80 2,5 MHz;  • Memória RAM de 4 KB (expansível até 16 KB); • Memória ROM: 2 KB (expansível até 8 KB);  • Teclado hexadecimal com 16 teclas para números hexadecimais e 14 teclas de função; • 8 displays de 7 segmentos para exibição dos resultados; Informações do modelo NBZ80B: • Revestido por uma caixa metálica com 36 cm de largura, 40 cm de profundidade e 5 cm de espessura; • Fonte de alimentação com tensão nominal de 220V e potência 40W.","O SGS Nanocomputer Z80 é um módulo didático cuja função é permitir que estudantes e entusiastas realizem experimentos em programação e criação de circuitos para microcomputadores. ","1979/1980",,SGS ATES,"Itália",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/5/85989_ca_attribute_values_value_blob_6532_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/22621_ca_attribute_values_value_blob_6533_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/12415_ca_attribute_values_value_blob_6534_large.jpg' width='700' height='933' />"
,"EPSON LX-80 - P87RA",Gabriel Pietro Leone,Impressoras,"A impressora EPSON Spectrum LX-80, ou só EPSON LX-80, é uma impressora matricial de impacto. Ela utiliza de uma tecnologia na qual uma cabeça de impressão composta por uma matriz de agulhas metálicas golpeia um fita de tinta, transferindo a imagem para o papel. Sua velocidade de impressão é de 180 caracteres por segundo e sua resolução é de até 240x144 pontos por polegada. A tecnologia implantada nela permite a impressão em diversos tipos de papel. Sua impressão é do tipo bidirecional e ela é própria para impressão de cargas de trabalho pesadas. Sua conexão é feita através de interfaces paralelas e serial. Seus ajustem permitem alterar: densidade de impressão, qualidade de impressão e tamanho da folha que será utilizada na impressão.","É uma impressora própria para cargas pesadas de trabalho.",1985,,EPSON,"Suwa, Japão",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/75497_ca_attribute_values_value_blob_6294_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/39870_ca_attribute_values_value_blob_6295_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/50178_ca_attribute_values_value_blob_6296_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/27788_ca_attribute_values_value_blob_6297_large.jpg' width='700' height='933' />"
,"TK82-C","BSI - Ana Maria Monteiro; Daniele Gallego; Jade Paiva; Ketlen Souza",Computadores,"• Processador: - ZILOG Z80A de 3.25MHz • Memória RAM: - 2K bytes  • Memória ROM: - 8K bytes  • Armazenamento:  - Gravador de cassete com capacidade de ler e escrever a 300 bps • Teclado:  - Teclado de membrana com 40 teclas • Display:  - Vídeo organizado em 24 linhas de 32 caracteres - Era possível simular um modo gráfico de 48x64 • Expansão:  - 1 slot na parte de trás (algumas versões acompanhavam extensor de 16K bytes) • Portas:  - 1 saída para TV (modulador RF, canal 3) - Interface de cassete  - 1 soquete DIN para joystick adaptado do Atari 2600","O computado pessoal TK82-C foi um computador doméstico, que era comumente usado para jogos e edição de texto.",1981,,"Microdigital Eletrônica",Brasil,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/51812_ca_attribute_values_value_blob_6215_large.jpg' width='700' height='917' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/40165_ca_attribute_values_value_blob_6216_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/2/97929_ca_attribute_values_value_blob_6217_large.jpg' width='700' height='1117' />"
,Tetractys 24,"Daniel Contente Romanzini, Guilherme Bertinati Silvestre, Flávio Masaaki Ito, Vinicius Paiva e Vitor Zago",Calculadoras,"É uma calculadora eletromecânica que faz diversas operações matemáticas e possui uma impressora acoplada. Suas dimensões são de 25.9 x 24 x 42.5 cm. Traduzindo do manual em italiano da máquina, pode-se obter sua descrição: A Tetractys é uma máquina super automática de calcular e digitar. Em termos de novidade, velocidade e amplitude de desempenho é um novo evento, um novo ponto de partida no campo das máquinas de computação. Com este produto, a Olivetti sabe que deu uma contribuição original para a tecnologia de alta precisão. O Tetractys executa as quatro operações e grava todos os dados; cada dado, como na caligrafia, é escrito horizontalmente. Com alta velocidade calcula e fornece os resultados. O Tetractys está equipado com dois totalizadores e um mecanismo de 'memória'; pode mudar de multiplicação para divisão, mantendo produtos ou quocientes para operações de cálculo subsequentes; permite o reset automático dos produtos, o contínuo com soma automática dos produtos, as transferências de um totalizador para outro, destes para o dispositivo 'memória' e vice-versa. Símbolos gráficos claros são usados ​​para identificar operações e resultados. A solicitação dos resultados é feita de forma imediata e fácil por algumas teclas de controle, claramente reconhecíveis e organizadas de forma racional; o teclado para configuração é único. O Tetractys possui uma flexibilidade de uso que lhe permite resolver os mais complexos problemas de cálculo.","A máquina é capaz de: -Soma -Subtração -Multiplicação -Multiplicação em cadeia e fator constante -Divisão -Armazenar um número e recordá-lo em operações sucessivas A capacidade da máquina é de 12 dígitos para configuração e 13 dígitos para o total",Entre 1956 e 1966,,Olivetti,"Itália",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/1/20440_ca_attribute_values_value_blob_6181_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/93564_ca_attribute_values_value_blob_6182_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/1/12626_ca_attribute_values_value_blob_6183_large.jpg' width='700' height='525' />"
